!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :           spec14.dat                    !
!          t-matrix file    :           tl2_Ni.dat                    !
!          rad integral file:          rad2_Ni.dat                    !
!          cluster file     :             clus.out                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PED        algorithm : MI          !
!          inner potential  :     10.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: SELRULE = 10000 !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:   -55.00  PHI_LUM:     0.00  E_LUM:  1253.60 eV !
!                                                                     !
!          outgoing beam 1  :                                         !
!          THETA_INI:   -10.00      THETA_FIN:    70.00               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :  1208.00 eV   E_FIN    :  1208.00 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PED           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1    81     1    4  0
    1  -10.00    0.00   1208.00  0.000000E+00  0.685982E+00
    2  -10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3  -10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4  -10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0  -10.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1  -10.00    0.00   1208.00  0.000000E+00  0.685982E+00
    1   -9.00    0.00   1208.00  0.000000E+00  0.673785E+00
    2   -9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -9.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   -9.00    0.00   1208.00  0.000000E+00  0.673785E+00
    1   -8.00    0.00   1208.00  0.000000E+00  0.652288E+00
    2   -8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -8.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   -8.00    0.00   1208.00  0.000000E+00  0.652288E+00
    1   -7.00    0.00   1208.00  0.000000E+00  0.623630E+00
    2   -7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -7.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   -7.00    0.00   1208.00  0.000000E+00  0.623630E+00
    1   -6.00    0.00   1208.00  0.000000E+00  0.590728E+00
    2   -6.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -6.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -6.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -6.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   -6.00    0.00   1208.00  0.000000E+00  0.590728E+00
    1   -5.00    0.00   1208.00  0.000000E+00  0.556856E+00
    2   -5.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -5.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -5.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -5.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   -5.00    0.00   1208.00  0.000000E+00  0.556856E+00
    1   -4.00    0.00   1208.00  0.000000E+00  0.525201E+00
    2   -4.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   -4.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   -4.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   -4.00    0.00   1208.00  0.000000E+00  0.000000E+00
